,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
35,Dikson,76,RU,1504760132,100,73.51,80.55,40.49,23.64
36,Mezen,76,RU,1504760133,86,65.85,44.24,49.04,3.29
37,Torbay,40,CA,1504756800,93,47.67,-52.73,64.4,13.87
38,Machinga,0,MW,1504760134,65,-15.17,35.3,72.08,4.74
39,Adrar,0,DZ,1504756800,24,27.87,-0.29,82.4,11.41
40,Dingle,36,PH,1504760135,91,11.0,122.67,83.07,3.06
41,Olho d’Agua,20,BR,1504760135,91,-2.88,-39.95,75.14,11.45
42,Turku,24,FI,1504758000,87,60.45,22.27,46.4,8.05
43,Paamiut,76,GL,1504760135,98,61.99,-49.67,39.87,1.5
44,Khed Brahma,0,IN,1504760136,88,24.03,73.05,82.88,4.63
45,Luderitz,0,NA,1504756800,100,-26.65,15.16,44.6,1.12
46,Pacov,0,CZ,1504756800,71,49.47,15.0,53.6,12.75
47,Portree,88,GB,1504760137,100,57.41,-6.19,54.35,14.25
48,Iqaluit,75,CA,1504756800,92,63.75,-68.51,37.4,5.75
49,Harper,92,LR,1504760137,100,4.38,-7.72,74.97,12.12
50,Port Alfred,0,ZA,1504760120,69,-33.59,26.89,67.49,9.44
51,Hermanus,24,ZA,1504759918,79,-34.42,19.23,55.62,14.03
52,Saint-Philippe,0,RE,1504756800,52,-21.36,55.77,69.8,8.05
53,Cape Town,75,ZA,1504756800,76,-33.93,18.42,57.2,27.51
54,Trevi,40,IT,1504758000,73,41.9,12.49,73.4,1.12
55,Ribeira Grande,40,PT,1504758600,83,37.8,-25.47,69.8,6.93
56,Ushuaia,75,AR,1504756800,56,-54.8,-68.3,41.0,13.87
57,Carballo,0,ES,1504758600,100,43.21,-8.69,53.6,2.24
58,Kalachinsk,0,RU,1504760122,78,55.05,74.58,56.78,8.99
59,Busselton,24,AU,1504760122,74,-33.65,115.33,69.38,8.99
60,Ilulissat,56,GL,1504756200,68,69.22,-51.1,30.2,2.73
61,Nouadhibou,0,MR,1504756800,83,20.93,-17.03,69.8,16.11
62,Souillac,75,MU,1504756800,64,-20.52,57.52,71.6,14.99
63,Oranjemund,0,NA,1504760124,100,-28.55,16.43,53.18,5.19
64,Bambous Virieux,75,MU,1504756800,64,-20.34,57.76,71.6,14.99
65,Capitan Pablo Lagerenza,36,PY,1504760125,57,-19.92,-60.78,71.45,9.78
66,Jamestown,40,US,1504758540,93,42.1,-79.24,53.6,3.36
67,Sinnamary,20,GF,1504760125,94,5.38,-52.95,81.89,10.89
68,Santa María de Gracia,90,ES,1504758600,100,28.47,-16.27,71.6,20.8
69,East London,0,ZA,1504756800,93,-33.02,27.91,53.6,3.36
70,Narsaq,44,GL,1504756200,87,60.92,-46.05,42.8,3.36
71,San Juan,68,PE,1504760127,100,-15.37,-75.16,55.97,11.68
72,Oparino,24,RU,1504760127,72,59.85,48.28,52.82,6.31
73,Amparihy,20,MG,1504756800,56,-25.02,46.97,69.8,18.34
74,Manzanillo,24,CU,1504760127,100,20.34,-77.12,81.35,4.74
75,Point Pedro,92,LK,1504760128,95,9.82,80.23,83.78,11.45
76,Pedernales,75,DO,1504756800,74,18.04,-71.74,82.4,5.82
77,Thyolo,0,MW,1504760130,49,-16.07,35.14,72.89,3.74
78,Arraial do Cabo,20,BR,1504760130,100,-22.97,-42.03,65.33,4.85
79,Tarbert,92,GB,1504758000,93,55.86,-5.42,55.4,13.87
80,Ongandjera,0,NA,1504760131,47,-17.88,15.07,67.04,8.66
81,Koukkuniemi,75,FI,1504758000,87,60.15,24.76,50.0,11.41
82,Maniitsoq,44,GL,1504760131,92,65.42,-52.9,38.24,2.06
83,Cochrane,1,CA,1504756800,47,51.18,-114.47,69.8,3.36
84,Saint-Augustin,100,CA,1504760132,97,51.23,-58.65,58.32,5.41
85,Dikson,76,RU,1504760132,100,73.51,80.55,40.49,23.64
86,Mezen,76,RU,1504760133,86,65.85,44.24,49.04,3.29
87,Torbay,40,CA,1504756800,93,47.67,-52.73,64.4,13.87
88,Machinga,0,MW,1504760134,65,-15.17,35.3,72.08,4.74
89,Adrar,0,DZ,1504756800,24,27.87,-0.29,82.4,11.41
90,Dingle,36,PH,1504760135,91,11.0,122.67,83.07,3.06
91,Olho d’Agua,20,BR,1504760135,91,-2.88,-39.95,75.14,11.45
92,Turku,24,FI,1504758000,87,60.45,22.27,46.4,8.05
93,Paamiut,76,GL,1504760135,98,61.99,-49.67,39.87,1.5
94,Khed Brahma,0,IN,1504760136,88,24.03,73.05,82.88,4.63
95,Luderitz,0,NA,1504756800,100,-26.65,15.16,44.6,1.12
96,Pacov,0,CZ,1504756800,71,49.47,15.0,53.6,12.75
97,Portree,88,GB,1504760137,100,57.41,-6.19,54.35,14.25
98,Iqaluit,75,CA,1504756800,92,63.75,-68.51,37.4,5.75
99,Harper,92,LR,1504760137,100,4.38,-7.72,74.97,12.12
100,Port Alfred,0,ZA,1504760120,69,-33.59,26.89,67.49,9.44
101,Hermanus,24,ZA,1504759918,79,-34.42,19.23,55.62,14.03
102,Saint-Philippe,0,RE,1504756800,52,-21.36,55.77,69.8,8.05
103,Cape Town,75,ZA,1504756800,76,-33.93,18.42,57.2,27.51
104,Trevi,40,IT,1504758000,73,41.9,12.49,73.4,1.12
105,Ribeira Grande,40,PT,1504758600,83,37.8,-25.47,69.8,6.93
106,Ushuaia,75,AR,1504756800,56,-54.8,-68.3,41.0,13.87
107,Carballo,0,ES,1504758600,100,43.21,-8.69,53.6,2.24
108,Kalachinsk,0,RU,1504760122,78,55.05,74.58,56.78,8.99
109,Busselton,24,AU,1504760122,74,-33.65,115.33,69.38,8.99
110,Ilulissat,56,GL,1504756200,68,69.22,-51.1,30.2,2.73
111,Nouadhibou,0,MR,1504756800,83,20.93,-17.03,69.8,16.11
112,Souillac,75,MU,1504756800,64,-20.52,57.52,71.6,14.99
113,Oranjemund,0,NA,1504760124,100,-28.55,16.43,53.18,5.19
114,Bambous Virieux,75,MU,1504756800,64,-20.34,57.76,71.6,14.99
115,Capitan Pablo Lagerenza,36,PY,1504760125,57,-19.92,-60.78,71.45,9.78
116,Jamestown,40,US,1504758540,93,42.1,-79.24,53.6,3.36
117,Sinnamary,20,GF,1504760125,94,5.38,-52.95,81.89,10.89
118,Santa María de Gracia,90,ES,1504758600,100,28.47,-16.27,71.6,20.8
119,East London,0,ZA,1504756800,93,-33.02,27.91,53.6,3.36
120,Narsaq,44,GL,1504756200,87,60.92,-46.05,42.8,3.36
121,San Juan,68,PE,1504760127,100,-15.37,-75.16,55.97,11.68
122,Oparino,24,RU,1504760127,72,59.85,48.28,52.82,6.31
123,Amparihy,20,MG,1504756800,56,-25.02,46.97,69.8,18.34
124,Manzanillo,24,CU,1504760127,100,20.34,-77.12,81.35,4.74
125,Point Pedro,92,LK,1504760128,95,9.82,80.23,83.78,11.45
126,Pedernales,75,DO,1504756800,74,18.04,-71.74,82.4,5.82
127,Thyolo,0,MW,1504760130,49,-16.07,35.14,72.89,3.74
128,Arraial do Cabo,20,BR,1504760130,100,-22.97,-42.03,65.33,4.85
129,Tarbert,92,GB,1504758000,93,55.86,-5.42,55.4,13.87
130,Ongandjera,0,NA,1504760131,47,-17.88,15.07,67.04,8.66
131,Koukkuniemi,75,FI,1504758000,87,60.15,24.76,50.0,11.41
132,Maniitsoq,44,GL,1504760131,92,65.42,-52.9,38.24,2.06
133,Cochrane,1,CA,1504756800,47,51.18,-114.47,69.8,3.36
134,Saint-Augustin,100,CA,1504760132,97,51.23,-58.65,58.32,5.41
135,Dikson,76,RU,1504760132,100,73.51,80.55,40.49,23.64
136,Mezen,76,RU,1504760133,86,65.85,44.24,49.04,3.29
137,Torbay,40,CA,1504756800,93,47.67,-52.73,64.4,13.87
138,Machinga,0,MW,1504760134,65,-15.17,35.3,72.08,4.74
139,Adrar,0,DZ,1504756800,24,27.87,-0.29,82.4,11.41
140,Dingle,36,PH,1504760135,91,11.0,122.67,83.07,3.06
141,Olho d’Agua,20,BR,1504760135,91,-2.88,-39.95,75.14,11.45
142,Turku,24,FI,1504758000,87,60.45,22.27,46.4,8.05
143,Paamiut,76,GL,1504760135,98,61.99,-49.67,39.87,1.5
144,Khed Brahma,0,IN,1504760136,88,24.03,73.05,82.88,4.63
145,Luderitz,0,NA,1504756800,100,-26.65,15.16,44.6,1.12
146,Pacov,0,CZ,1504756800,71,49.47,15.0,53.6,12.75
147,Portree,88,GB,1504760137,100,57.41,-6.19,54.35,14.25
148,Iqaluit,75,CA,1504756800,92,63.75,-68.51,37.4,5.75
149,Harper,92,LR,1504760137,100,4.38,-7.72,74.97,12.12
150,Port Alfred,0,ZA,1504760120,69,-33.59,26.89,67.49,9.44
151,Hermanus,24,ZA,1504759918,79,-34.42,19.23,55.62,14.03
152,Saint-Philippe,0,RE,1504756800,52,-21.36,55.77,69.8,8.05
153,Cape Town,75,ZA,1504756800,76,-33.93,18.42,57.2,27.51
154,Trevi,40,IT,1504758000,73,41.9,12.49,73.4,1.12
155,Ribeira Grande,40,PT,1504758600,83,37.8,-25.47,69.8,6.93
156,Ushuaia,75,AR,1504756800,56,-54.8,-68.3,41.0,13.87
157,Carballo,0,ES,1504758600,100,43.21,-8.69,53.6,2.24
158,Kalachinsk,0,RU,1504760122,78,55.05,74.58,56.78,8.99
159,Busselton,24,AU,1504760122,74,-33.65,115.33,69.38,8.99
160,Ilulissat,56,GL,1504756200,68,69.22,-51.1,30.2,2.73
161,Nouadhibou,0,MR,1504756800,83,20.93,-17.03,69.8,16.11
162,Souillac,75,MU,1504756800,64,-20.52,57.52,71.6,14.99
163,Oranjemund,0,NA,1504760124,100,-28.55,16.43,53.18,5.19
164,Bambous Virieux,75,MU,1504756800,64,-20.34,57.76,71.6,14.99
165,Capitan Pablo Lagerenza,36,PY,1504760125,57,-19.92,-60.78,71.45,9.78
166,Jamestown,40,US,1504758540,93,42.1,-79.24,53.6,3.36
167,Sinnamary,20,GF,1504760125,94,5.38,-52.95,81.89,10.89
168,Santa María de Gracia,90,ES,1504758600,100,28.47,-16.27,71.6,20.8
169,East London,0,ZA,1504756800,93,-33.02,27.91,53.6,3.36
170,Narsaq,44,GL,1504756200,87,60.92,-46.05,42.8,3.36
171,San Juan,68,PE,1504760127,100,-15.37,-75.16,55.97,11.68
172,Oparino,24,RU,1504760127,72,59.85,48.28,52.82,6.31
173,Amparihy,20,MG,1504756800,56,-25.02,46.97,69.8,18.34
174,Manzanillo,24,CU,1504760127,100,20.34,-77.12,81.35,4.74
175,Point Pedro,92,LK,1504760128,95,9.82,80.23,83.78,11.45
176,Pedernales,75,DO,1504756800,74,18.04,-71.74,82.4,5.82
177,Thyolo,0,MW,1504760130,49,-16.07,35.14,72.89,3.74
178,Arraial do Cabo,20,BR,1504760130,100,-22.97,-42.03,65.33,4.85
179,Tarbert,92,GB,1504758000,93,55.86,-5.42,55.4,13.87
180,Ongandjera,0,NA,1504760131,47,-17.88,15.07,67.04,8.66
181,Koukkuniemi,75,FI,1504758000,87,60.15,24.76,50.0,11.41
182,Maniitsoq,44,GL,1504760131,92,65.42,-52.9,38.24,2.06
183,Cochrane,1,CA,1504756800,47,51.18,-114.47,69.8,3.36
184,Saint-Augustin,100,CA,1504760132,97,51.23,-58.65,58.32,5.41
185,Dikson,76,RU,1504760132,100,73.51,80.55,40.49,23.64
186,Mezen,76,RU,1504760133,86,65.85,44.24,49.04,3.29
187,Torbay,40,CA,1504756800,93,47.67,-52.73,64.4,13.87
188,Machinga,0,MW,1504760134,65,-15.17,35.3,72.08,4.74
189,Adrar,0,DZ,1504756800,24,27.87,-0.29,82.4,11.41
190,Dingle,36,PH,1504760135,91,11.0,122.67,83.07,3.06
191,Olho d’Agua,20,BR,1504760135,91,-2.88,-39.95,75.14,11.45
192,Turku,24,FI,1504758000,87,60.45,22.27,46.4,8.05
193,Paamiut,76,GL,1504760135,98,61.99,-49.67,39.87,1.5
194,Khed Brahma,0,IN,1504760136,88,24.03,73.05,82.88,4.63
195,Luderitz,0,NA,1504756800,100,-26.65,15.16,44.6,1.12
196,Pacov,0,CZ,1504756800,71,49.47,15.0,53.6,12.75
197,Portree,88,GB,1504760137,100,57.41,-6.19,54.35,14.25
198,Iqaluit,75,CA,1504756800,92,63.75,-68.51,37.4,5.75
199,Harper,92,LR,1504760137,100,4.38,-7.72,74.97,12.12
200,Port Alfred,0,ZA,1504760120,69,-33.59,26.89,67.49,9.44
201,Hermanus,24,ZA,1504759918,79,-34.42,19.23,55.62,14.03
202,Saint-Philippe,0,RE,1504756800,52,-21.36,55.77,69.8,8.05
203,Cape Town,75,ZA,1504756800,76,-33.93,18.42,57.2,27.51
204,Trevi,40,IT,1504758000,73,41.9,12.49,73.4,1.12
205,Ribeira Grande,40,PT,1504758600,83,37.8,-25.47,69.8,6.93
206,Ushuaia,75,AR,1504756800,56,-54.8,-68.3,41.0,13.87
207,Carballo,0,ES,1504758600,100,43.21,-8.69,53.6,2.24
208,Kalachinsk,0,RU,1504760122,78,55.05,74.58,56.78,8.99
209,Busselton,24,AU,1504760122,74,-33.65,115.33,69.38,8.99
210,Ilulissat,56,GL,1504756200,68,69.22,-51.1,30.2,2.73
211,Nouadhibou,0,MR,1504756800,83,20.93,-17.03,69.8,16.11
212,Souillac,75,MU,1504756800,64,-20.52,57.52,71.6,14.99
213,Oranjemund,0,NA,1504760124,100,-28.55,16.43,53.18,5.19
214,Bambous Virieux,75,MU,1504756800,64,-20.34,57.76,71.6,14.99
215,Capitan Pablo Lagerenza,36,PY,1504760125,57,-19.92,-60.78,71.45,9.78
216,Jamestown,40,US,1504758540,93,42.1,-79.24,53.6,3.36
217,Sinnamary,20,GF,1504760125,94,5.38,-52.95,81.89,10.89
218,Santa María de Gracia,90,ES,1504758600,100,28.47,-16.27,71.6,20.8
219,East London,0,ZA,1504756800,93,-33.02,27.91,53.6,3.36
220,Narsaq,44,GL,1504756200,87,60.92,-46.05,42.8,3.36
221,San Juan,68,PE,1504760127,100,-15.37,-75.16,55.97,11.68
222,Oparino,24,RU,1504760127,72,59.85,48.28,52.82,6.31
223,Amparihy,20,MG,1504756800,56,-25.02,46.97,69.8,18.34
224,Manzanillo,24,CU,1504760127,100,20.34,-77.12,81.35,4.74
225,Point Pedro,92,LK,1504760128,95,9.82,80.23,83.78,11.45
226,Pedernales,75,DO,1504756800,74,18.04,-71.74,82.4,5.82
227,Thyolo,0,MW,1504760130,49,-16.07,35.14,72.89,3.74
228,Arraial do Cabo,20,BR,1504760130,100,-22.97,-42.03,65.33,4.85
229,Tarbert,92,GB,1504758000,93,55.86,-5.42,55.4,13.87
230,Ongandjera,0,NA,1504760131,47,-17.88,15.07,67.04,8.66
231,Koukkuniemi,75,FI,1504758000,87,60.15,24.76,50.0,11.41
232,Maniitsoq,44,GL,1504760131,92,65.42,-52.9,38.24,2.06
233,Cochrane,1,CA,1504756800,47,51.18,-114.47,69.8,3.36
234,Saint-Augustin,100,CA,1504760132,97,51.23,-58.65,58.32,5.41
235,Dikson,76,RU,1504760132,100,73.51,80.55,40.49,23.64
236,Mezen,76,RU,1504760133,86,65.85,44.24,49.04,3.29
237,Torbay,40,CA,1504756800,93,47.67,-52.73,64.4,13.87
238,Machinga,0,MW,1504760134,65,-15.17,35.3,72.08,4.74
239,Adrar,0,DZ,1504756800,24,27.87,-0.29,82.4,11.41
240,Dingle,36,PH,1504760135,91,11.0,122.67,83.07,3.06
241,Olho d’Agua,20,BR,1504760135,91,-2.88,-39.95,75.14,11.45
242,Turku,24,FI,1504758000,87,60.45,22.27,46.4,8.05
243,Paamiut,76,GL,1504760135,98,61.99,-49.67,39.87,1.5
244,Khed Brahma,0,IN,1504760136,88,24.03,73.05,82.88,4.63
245,Luderitz,0,NA,1504756800,100,-26.65,15.16,44.6,1.12
246,Pacov,0,CZ,1504756800,71,49.47,15.0,53.6,12.75
247,Portree,88,GB,1504760137,100,57.41,-6.19,54.35,14.25
248,Iqaluit,75,CA,1504756800,92,63.75,-68.51,37.4,5.75
249,Harper,92,LR,1504760137,100,4.38,-7.72,74.97,12.12
250,Port Alfred,0,ZA,1504760120,69,-33.59,26.89,67.49,9.44
251,Hermanus,24,ZA,1504759918,79,-34.42,19.23,55.62,14.03
252,Saint-Philippe,0,RE,1504756800,52,-21.36,55.77,69.8,8.05
253,Cape Town,75,ZA,1504756800,76,-33.93,18.42,57.2,27.51
254,Trevi,40,IT,1504758000,73,41.9,12.49,73.4,1.12
255,Ribeira Grande,40,PT,1504758600,83,37.8,-25.47,69.8,6.93
256,Ushuaia,75,AR,1504756800,56,-54.8,-68.3,41.0,13.87
257,Carballo,0,ES,1504758600,100,43.21,-8.69,53.6,2.24
258,Kalachinsk,0,RU,1504760122,78,55.05,74.58,56.78,8.99
259,Busselton,24,AU,1504760122,74,-33.65,115.33,69.38,8.99
260,Ilulissat,56,GL,1504756200,68,69.22,-51.1,30.2,2.73
261,Nouadhibou,0,MR,1504756800,83,20.93,-17.03,69.8,16.11
262,Souillac,75,MU,1504756800,64,-20.52,57.52,71.6,14.99
263,Oranjemund,0,NA,1504760124,100,-28.55,16.43,53.18,5.19
264,Bambous Virieux,75,MU,1504756800,64,-20.34,57.76,71.6,14.99
265,Capitan Pablo Lagerenza,36,PY,1504760125,57,-19.92,-60.78,71.45,9.78
266,Jamestown,40,US,1504758540,93,42.1,-79.24,53.6,3.36
267,Sinnamary,20,GF,1504760125,94,5.38,-52.95,81.89,10.89
268,Santa María de Gracia,90,ES,1504758600,100,28.47,-16.27,71.6,20.8
269,East London,0,ZA,1504756800,93,-33.02,27.91,53.6,3.36
270,Narsaq,44,GL,1504756200,87,60.92,-46.05,42.8,3.36
271,San Juan,68,PE,1504760127,100,-15.37,-75.16,55.97,11.68
272,Oparino,24,RU,1504760127,72,59.85,48.28,52.82,6.31
273,Amparihy,20,MG,1504756800,56,-25.02,46.97,69.8,18.34
274,Manzanillo,24,CU,1504760127,100,20.34,-77.12,81.35,4.74
275,Point Pedro,92,LK,1504760128,95,9.82,80.23,83.78,11.45
276,Pedernales,75,DO,1504756800,74,18.04,-71.74,82.4,5.82
277,Thyolo,0,MW,1504760130,49,-16.07,35.14,72.89,3.74
278,Arraial do Cabo,20,BR,1504760130,100,-22.97,-42.03,65.33,4.85
279,Tarbert,92,GB,1504758000,93,55.86,-5.42,55.4,13.87
280,Ongandjera,0,NA,1504760131,47,-17.88,15.07,67.04,8.66
281,Koukkuniemi,75,FI,1504758000,87,60.15,24.76,50.0,11.41
282,Maniitsoq,44,GL,1504760131,92,65.42,-52.9,38.24,2.06
283,Cochrane,1,CA,1504756800,47,51.18,-114.47,69.8,3.36
284,Saint-Augustin,100,CA,1504760132,97,51.23,-58.65,58.32,5.41
285,Dikson,76,RU,1504760132,100,73.51,80.55,40.49,23.64
286,Mezen,76,RU,1504760133,86,65.85,44.24,49.04,3.29
287,Torbay,40,CA,1504756800,93,47.67,-52.73,64.4,13.87
288,Machinga,0,MW,1504760134,65,-15.17,35.3,72.08,4.74
289,Adrar,0,DZ,1504756800,24,27.87,-0.29,82.4,11.41
290,Dingle,36,PH,1504760135,91,11.0,122.67,83.07,3.06
291,Olho d’Agua,20,BR,1504760135,91,-2.88,-39.95,75.14,11.45
292,Turku,24,FI,1504758000,87,60.45,22.27,46.4,8.05
293,Paamiut,76,GL,1504760135,98,61.99,-49.67,39.87,1.5
294,Khed Brahma,0,IN,1504760136,88,24.03,73.05,82.88,4.63
295,Luderitz,0,NA,1504756800,100,-26.65,15.16,44.6,1.12
296,Pacov,0,CZ,1504756800,71,49.47,15.0,53.6,12.75
297,Portree,88,GB,1504760137,100,57.41,-6.19,54.35,14.25
298,Iqaluit,75,CA,1504756800,92,63.75,-68.51,37.4,5.75
299,Harper,92,LR,1504760137,100,4.38,-7.72,74.97,12.12
300,Port Alfred,0,ZA,1504760120,69,-33.59,26.89,67.49,9.44
301,Hermanus,24,ZA,1504759918,79,-34.42,19.23,55.62,14.03
302,Saint-Philippe,0,RE,1504756800,52,-21.36,55.77,69.8,8.05
303,Cape Town,75,ZA,1504756800,76,-33.93,18.42,57.2,27.51
304,Trevi,40,IT,1504758000,73,41.9,12.49,73.4,1.12
305,Ribeira Grande,40,PT,1504758600,83,37.8,-25.47,69.8,6.93
306,Ushuaia,75,AR,1504756800,56,-54.8,-68.3,41.0,13.87
307,Carballo,0,ES,1504758600,100,43.21,-8.69,53.6,2.24
308,Kalachinsk,0,RU,1504760122,78,55.05,74.58,56.78,8.99
309,Busselton,24,AU,1504760122,74,-33.65,115.33,69.38,8.99
310,Ilulissat,56,GL,1504756200,68,69.22,-51.1,30.2,2.73
311,Nouadhibou,0,MR,1504756800,83,20.93,-17.03,69.8,16.11
312,Souillac,75,MU,1504756800,64,-20.52,57.52,71.6,14.99
313,Oranjemund,0,NA,1504760124,100,-28.55,16.43,53.18,5.19
314,Bambous Virieux,75,MU,1504756800,64,-20.34,57.76,71.6,14.99
315,Capitan Pablo Lagerenza,36,PY,1504760125,57,-19.92,-60.78,71.45,9.78
316,Jamestown,40,US,1504758540,93,42.1,-79.24,53.6,3.36
317,Sinnamary,20,GF,1504760125,94,5.38,-52.95,81.89,10.89
318,Santa María de Gracia,90,ES,1504758600,100,28.47,-16.27,71.6,20.8
319,East London,0,ZA,1504756800,93,-33.02,27.91,53.6,3.36
320,Narsaq,44,GL,1504756200,87,60.92,-46.05,42.8,3.36
321,San Juan,68,PE,1504760127,100,-15.37,-75.16,55.97,11.68
322,Oparino,24,RU,1504760127,72,59.85,48.28,52.82,6.31
323,Amparihy,20,MG,1504756800,56,-25.02,46.97,69.8,18.34
324,Manzanillo,24,CU,1504760127,100,20.34,-77.12,81.35,4.74
325,Point Pedro,92,LK,1504760128,95,9.82,80.23,83.78,11.45
326,Pedernales,75,DO,1504756800,74,18.04,-71.74,82.4,5.82
327,Thyolo,0,MW,1504760130,49,-16.07,35.14,72.89,3.74
328,Arraial do Cabo,20,BR,1504760130,100,-22.97,-42.03,65.33,4.85
329,Tarbert,92,GB,1504758000,93,55.86,-5.42,55.4,13.87
330,Ongandjera,0,NA,1504760131,47,-17.88,15.07,67.04,8.66
331,Koukkuniemi,75,FI,1504758000,87,60.15,24.76,50.0,11.41
332,Maniitsoq,44,GL,1504760131,92,65.42,-52.9,38.24,2.06
333,Cochrane,1,CA,1504756800,47,51.18,-114.47,69.8,3.36
334,Saint-Augustin,100,CA,1504760132,97,51.23,-58.65,58.32,5.41
335,Dikson,76,RU,1504760132,100,73.51,80.55,40.49,23.64
336,Mezen,76,RU,1504760133,86,65.85,44.24,49.04,3.29
337,Torbay,40,CA,1504756800,93,47.67,-52.73,64.4,13.87
338,Machinga,0,MW,1504760134,65,-15.17,35.3,72.08,4.74
339,Adrar,0,DZ,1504756800,24,27.87,-0.29,82.4,11.41
340,Dingle,36,PH,1504760135,91,11.0,122.67,83.07,3.06
341,Olho d’Agua,20,BR,1504760135,91,-2.88,-39.95,75.14,11.45
342,Turku,24,FI,1504758000,87,60.45,22.27,46.4,8.05
343,Paamiut,76,GL,1504760135,98,61.99,-49.67,39.87,1.5
344,Khed Brahma,0,IN,1504760136,88,24.03,73.05,82.88,4.63
345,Luderitz,0,NA,1504756800,100,-26.65,15.16,44.6,1.12
346,Pacov,0,CZ,1504756800,71,49.47,15.0,53.6,12.75
347,Portree,88,GB,1504760137,100,57.41,-6.19,54.35,14.25
348,Iqaluit,75,CA,1504756800,92,63.75,-68.51,37.4,5.75
349,Harper,92,LR,1504760137,100,4.38,-7.72,74.97,12.12
350,Port Alfred,0,ZA,1504760120,69,-33.59,26.89,67.49,9.44
351,Hermanus,24,ZA,1504759918,79,-34.42,19.23,55.62,14.03
352,Saint-Philippe,0,RE,1504756800,52,-21.36,55.77,69.8,8.05
353,Cape Town,75,ZA,1504756800,76,-33.93,18.42,57.2,27.51
354,Trevi,40,IT,1504758000,73,41.9,12.49,73.4,1.12
355,Ribeira Grande,40,PT,1504758600,83,37.8,-25.47,69.8,6.93
356,Ushuaia,75,AR,1504756800,56,-54.8,-68.3,41.0,13.87
357,Carballo,0,ES,1504758600,100,43.21,-8.69,53.6,2.24
358,Kalachinsk,0,RU,1504760122,78,55.05,74.58,56.78,8.99
359,Busselton,24,AU,1504760122,74,-33.65,115.33,69.38,8.99
360,Ilulissat,56,GL,1504756200,68,69.22,-51.1,30.2,2.73
361,Nouadhibou,0,MR,1504756800,83,20.93,-17.03,69.8,16.11
362,Souillac,75,MU,1504756800,64,-20.52,57.52,71.6,14.99
363,Oranjemund,0,NA,1504760124,100,-28.55,16.43,53.18,5.19
364,Bambous Virieux,75,MU,1504756800,64,-20.34,57.76,71.6,14.99
365,Capitan Pablo Lagerenza,36,PY,1504760125,57,-19.92,-60.78,71.45,9.78
366,Jamestown,40,US,1504758540,93,42.1,-79.24,53.6,3.36
367,Sinnamary,20,GF,1504760125,94,5.38,-52.95,81.89,10.89
368,Santa María de Gracia,90,ES,1504758600,100,28.47,-16.27,71.6,20.8
